tag,sr,dd,h1,h2,t,yy,d1,d2,expo,keep
O1 vol-managed hl=20d,1.2570035583565777,-11.381497620249291,1.3869774841020017,1.1383906400949795,-0.6994059217993271,1/9,-0.04516949404361936,-0.06206327261926026,1.1595366525857573,False
O1 vol-managed hl=60d,1.2466153198506693,-10.64123306403153,1.327218734239911,1.1734219149388017,-1.139359486614049,1/9,-0.10492824390570976,-0.0270319977754363,1.0699874509145626,False
O1 vol-managed hl=120d,1.266537390725388,-10.46053103854555,1.327926762798995,1.210595742716145,-1.0129644784452676,2/9,-0.10422021534662562,0.010141830001906493,1.0392637918491017,False
O2 portfolio-VT hl=20d (PRIMARY),1.2449664371654678,-11.608112311461383,1.378078929936451,1.1252921928182404,-0.8239753589845129,2/9,-0.05406804820917199,-0.07516171989599862,1.1543355061229224,False
O2 portfolio-VT hl=60d (PRIMARY),1.2512961721646323,-10.774176572058824,1.3415327224308977,1.1707945600145173,-1.0375205270604126,1/9,-0.09061425571472359,-0.029659352699719532,1.0587965921347668,False
O2 portfolio-VT hl=120d (PRIMARY),1.2837514955686666,-9.516093741542909,1.3675873381774588,1.20979219328196,-0.6598003330320894,2/9,-0.06455963996816094,0.0093382805677229,1.0186270087151925,False
O3 drawdown k=3.0 floor=0.4,1.3019605378579013,-8.18960718507168,1.4346800333312477,1.1765018191684913,-0.7185571114945021,5/9,0.002533055185624411,-0.0239520935457469,0.9324592232245135,False
O3 drawdown k=6.0 floor=0.4,1.284894811662395,-7.284560180730038,1.4311331714956042,1.147671183505321,-0.8582841061489164,5/9,-0.0010138066500169352,-0.052782729208917134,0.8649184464490268,False
O4 corr-gate q=0.8 lo=0.5,1.2885668003021147,-8.580890956309982,1.4164485611758442,1.1672856559316738,-0.358400771536041,5/9,-0.015698416969776696,-0.03316825678256419,0.8908507223113965,False
O4 corr-gate q=0.9 lo=0.5,1.3027266306815322,-9.088865867335894,1.4678589868150929,1.1470508882165504,-0.18730663724221586,4/9,0.03571200866947022,-0.05340302449768908,0.9284109149277688,False
O4 corr-gate q=0.9 lo=0.0,1.2321618261016793,-9.088865867335894,1.4293279574785418,1.0472137364732905,-0.6889312272810247,4/9,-0.002819020667079286,-0.15324017624094943,0.8568218298555377,False
