test,sr,t,d1,d2,keep
fin-aware a=4%,0.9041586234189893,-0.6935122697815799,-0.36890705723128114,0.04612878719316271,False
fin-aware a=6%,0.9022324694341148,-0.7013920502413429,-0.36803040620067984,0.04233773384937467,False
fin-aware a=8%,0.9010971902993754,-0.7060063817513482,-0.3675602451177755,0.04013663184110827,False
fin-aware a=10%,0.9003475935394915,-0.7090408496683386,-0.3672688203981611,0.038697019219577244,False
drop BTC (worst carry -30.4%),0.8065642523983292,-0.5590703106274528,-0.3623482589055056,0.16877874911399238,False
"half BTC, rest equal",0.8906846449140761,-0.05723451828574852,-0.1078240465079805,0.10009767958181282,False
double BRENT (+9.6% carry),0.9448673473244691,0.624852515394636,0.020792176236778426,0.07778219741742709,False
inverse-drag weights,0.9330557099758815,0.44697868225851367,-0.04670484002786801,0.12269607756129575,False
XAU long-only champion (deployed),0.7263075412560612,0.0,0.0,0.0,False
XAU symmetric long/short,0.6104047304170381,-0.649524974936304,-0.1620686652054118,-0.08589293839535361,False
XAU long-only + carry shorts k=0.25,0.722999067327655,-0.09656082885948163,0.005810646213487369,-0.011075912746486782,False
XAU long-only + carry shorts k=0.50,0.713042642527994,-0.2014910963805606,-0.0016730948506886167,-0.021698363417104183,False
XAU long-only + carry shorts k=1.00,0.6766598684821656,-0.3962232641062624,-0.02965087853125875,-0.05814189191647756,False
