cell,variant,sr,dd,t,yy,d1,d2,keep
B K12 cont b=0.5,B sleeve-in-book,1.2531605530693288,-11.293467666074598,1.9114031251755093,6/9,-0.017406440902712372,0.0901254736761512,False
B K12 q80 b=0.5,B sleeve-in-book,1.3075738794787397,-11.45133678274508,1.8583839010759053,6/9,-0.07313181785425416,0.24561337012157147,False
B K12 cont b=1.0,B sleeve-in-book,1.2885793598091346,-11.284462713722409,1.7421050689693662,6/9,-0.06166978295128778,0.19588617527382723,False
B K12 q80 b=1.0,B sleeve-in-book,1.3869616728218541,-11.475382377807609,1.5982476720369323,6/9,-0.17971991596721593,0.4999330456040012,False
B K30 q90 b=0.5,B sleeve-in-book,1.2592813001478007,-11.357922666455146,1.5133166586966815,7/9,-0.055545650993023665,0.13578192694133584,False
B K12 q90 b=0.5,B sleeve-in-book,1.2679932915489076,-11.479347228691639,1.491907936961314,5/9,-0.04264127466866463,0.14022305348436892,False
B K30 q70 b=0.5,B sleeve-in-book,1.2997806410885522,-10.972859038598937,1.4911696828459218,5/9,-0.1390182403968252,0.29839473194511146,False
B K12 q90 b=1.0,B sleeve-in-book,1.3159256159637376,-11.629536991361322,1.3561192252986198,5/9,-0.10971564519408283,0.2895905554287539,False
B K30 cont b=0.5,B sleeve-in-book,1.2379403688202497,-11.031831637805423,1.3371549628771766,6/9,-0.03325337704726916,0.07479128868494977,False
B K12 q70 b=0.5,B sleeve-in-book,1.2949478149224578,-11.387157572931594,1.2821641564165576,4/9,-0.10126560692916109,0.2483012912654614,False
B K30 q80 b=0.5,B sleeve-in-book,1.2703460354385625,-11.304575753329981,1.2758168606446907,6/9,-0.09771189649493439,0.19678537242663063,False
B K30 q90 b=1.0,B sleeve-in-book,1.2878486396974025,-11.435752729927229,1.171821841243313,6/9,-0.142207884269684,0.2681572239802621,False
B K30 cont b=1.0,B sleeve-in-book,1.2550602623906235,-10.821676946719228,1.1214016199775587,6/9,-0.08505287495282432,0.1523735483752322,False
B K30 q70 b=1.0,B sleeve-in-book,1.3480637015195076,-10.99749141347136,1.0520467582671325,4/9,-0.33885848984856926,0.6018483930878624,False
A K30 cont b=0.5,A book-scalar,1.233457777513175,-10.868155266332757,1.0253601933526117,7/9,0.008612854611543153,0.029680779421039194,False
B K30 q80 b=1.0,B sleeve-in-book,1.308637206599423,-11.337495827873934,0.9996087741387355,6/9,-0.2226968139801644,0.3885474744322559,False
A K30 cont b=1.0,A book-scalar,1.250103010294171,-10.433242431046065,0.9131382550485321,7/9,0.012605834216735667,0.05685657550451162,False
A K12 cont b=0.5,A book-scalar,1.2288754645976752,-10.945283396116679,0.8558313397297203,6/9,0.0374987483781255,-0.003536215852725455,False
B K12 q70 b=1.0,B sleeve-in-book,1.3353598552410728,-11.629871764428435,0.8552263835130144,3/9,-0.2842242334920254,0.5001906076940557,False
A K12 cont b=1.0,A book-scalar,1.2412949877164337,-10.408025089509099,0.7529769472810456,6/9,0.07192988247894361,-0.009934059986005384,False
A K30 q80 b=0.5,A book-scalar,1.2421562918140483,-10.658590911097965,0.6003399514561163,7/9,0.0258827431767219,0.03209635530258237,False
A K12 q80 b=0.5,A book-scalar,1.2473469151546686,-10.255318937245761,0.5938307416547957,5/9,0.10338901759495212,-0.02517230994424935,False
A K12 q70 b=0.5,A book-scalar,1.2474102430934884,-10.624742452913939,0.43893273187444665,5/9,0.08798235467379678,-0.01184474534498725,False
A K30 q80 b=1.0,A book-scalar,1.2452213767877403,-9.835406163116877,0.32571728388880944,5/9,0.032060023292465045,0.03273775889570696,False
A K30 q70 b=0.5,A book-scalar,1.232761139276131,-10.306739268019882,0.26589776743767635,5/9,-0.007599273300789466,0.04859129632622472,False
A K12 q80 b=1.0,A book-scalar,1.2437476798396778,-9.016523048952585,0.25806508579285486,4/9,0.17700808148512714,-0.09511681928013904,False
A K30 q90 b=0.5,A book-scalar,1.2186960761244803,-11.121913148928375,0.19301990004468247,6/9,-0.015255367556906263,0.02412085183077073,False
A K30 q90 b=1.0,A book-scalar,1.2155926172585108,-10.763316334191197,0.04065668246092364,6/9,-0.03357371971489931,0.03463700461140751,False
A K12 q70 b=1.0,A book-scalar,1.205291429503989,-9.765322588370806,-0.04864776377141245,5/9,0.11226190653680845,-0.1109535478545518,False
A K12 q90 b=0.5,A book-scalar,1.2108555363559703,-10.885962573774155,-0.09625289212640471,4/9,-0.010864719118021782,0.004324759907664122,False
A K30 q70 b=1.0,A book-scalar,1.1855223421915846,-9.12565196105527,-0.18056425889334798,4/9,-0.05464620431270073,0.004241599379220196,False
A K12 q90 b=1.0,A book-scalar,1.2012967332639664,-10.288570403399632,-0.23440810451405913,4/9,-0.030564257303114184,0.003240889109291434,False
