cell,sr,dd,t,yy,d1,d2,expo,keep
K12 q80 b=0.5,1.2417236389684696,-20.29327801859807,2.3897133427719766,7/9,-0.08177666245488979,0.3444035739336355,0.9342818428184282,False
K12 cont b=0.5,1.1514738447666255,-19.440463108659767,2.202339474569264,7/9,-0.025599400540459283,0.11995551620133615,0.9600758227996739,False
K12 q80 b=1.0,1.3786836092584172,-21.88218756395125,2.138914906728079,7/9,-0.18809343742186635,0.7070115781164423,0.8685636856368564,False
K12 cont b=1.0,1.2064502288269028,-19.4115210874638,2.129102469142193,7/9,-0.07830909589894053,0.26510085860070975,0.9201516455993476,False
K12 q70 b=0.5,1.2454261119682883,-20.909613745314083,1.98014583231255,5/9,-0.12115239499870212,0.38600350354080737,0.8928455284552845,False
K30 q70 b=0.5,1.2334259450920533,-20.355323082291576,1.9676415801801592,6/9,-0.16768808982747962,0.4154100900077504,0.9108130081300813,False
K12 q90 b=0.5,1.1744268739134005,-18.43368678778875,1.7374307061373124,5/9,-0.0497232330563373,0.18424175522388042,0.9719512195121951,False
K12 q90 b=1.0,1.245599226764027,-18.179285812897884,1.616171654805915,4/9,-0.12253726332757309,0.37779837285957707,0.9439024390243902,False
K30 q90 b=0.5,1.1571948482098222,-19.151524287191755,1.616044842528322,7/9,-0.06850395444982771,0.16843919450884526,0.9814634146341463,False
K30 q80 b=0.5,1.182070753022621,-19.35578904538452,1.566599467848841,6/9,-0.1160967836803608,0.2574446730639479,0.9499186991869919,False
K12 q70 b=1.0,1.3616458807155836,-23.68931573047963,1.5223448690502255,4/9,-0.32223174737785537,0.7938629902773671,0.7856910569105691,False
K30 q70 b=1.0,1.332541617288071,-23.65347002414968,1.507479566402167,6/9,-0.39680353951997405,0.8400070138063018,0.8216260162601626,False
K30 q80 b=1.0,1.2481160336985422,-21.101564092549584,1.29978053031751,6/9,-0.2553325534708422,0.5026322822084011,0.8998373983739838,False
K30 q90 b=1.0,1.19729397760861,-19.16077063373065,1.293204776259164,7/9,-0.1697469547408611,0.32915135266000006,0.9629268292682926,False
K30 cont b=0.5,1.1243698371704332,-19.203576983257364,1.16936564795697,6/9,-0.060970152069903305,0.09482464561057258,0.9639582069688929,False
K30 cont b=1.0,1.1436348605222602,-19.227608290462527,0.9778566395512709,5/9,-0.14490018231005664,0.19589315267261775,0.9279164139377858,False
