universe,method,sharpe,dd,cagr,t,yrs
core 4,equal (incumbent),1.4282595450995668,-7.729045252178757,14.85907305683305,0.0,0/8
core 4,inverse-vol,1.358738083369488,-7.5467329371134095,15.016337770247823,-1.1593842224984832,3/8
core 4,HRP,1.2929273355955027,-8.353491337053642,15.438915627445017,-1.2838565493126306,4/8
core 4,RMT-cleaned min-var,1.2347986392552877,-8.055998200564929,14.50044997823361,-1.6608149801148466,4/8
core 4,min-CVaR 5%,1.3884419575009077,-7.553157323930315,15.705139002329949,-0.5663780056527018,4/8
wide 8,equal (incumbent),1.356898936467143,-6.77592958084714,12.857723004140343,-0.6114247009945903,3/8
wide 8,inverse-vol,1.288102082808913,-7.181753183323281,13.024887778981187,-1.078052630147573,3/8
wide 8,HRP,1.220682486149252,-8.353491337053642,13.253837175222326,-1.3065314235812762,3/8
wide 8,RMT-cleaned min-var,1.1170866296654416,-8.055998200564929,11.853300099550834,-1.5802931250835937,3/8
wide 8,min-CVaR 5%,1.188396914577087,-7.793068093553246,11.723377798260092,-1.5196999886101223,2/8
core 4 + reversal,equal (incumbent),1.4353029256064744,-5.845657365762447,11.2599769264772,0.1558603254175993,6/8
core 4 + reversal,inverse-vol,1.2828612219591249,-5.899106232053519,7.624830755421308,-1.2019358015059896,3/8
core 4 + reversal,HRP,0.8671953719305706,-8.137392104604613,4.106941795631958,-2.261126503743671,3/8
core 4 + reversal,RMT-cleaned min-var,0.7133685499276872,-8.454741058107784,3.067006588764909,-2.48845623456482,3/8
core 4 + reversal,min-CVaR 5%,1.1984873281437407,-6.994645379985254,6.369495553544002,-1.302109111301653,3/8
wide 8 + reversal,equal (incumbent),1.385304905229978,-5.709931420582858,10.470899493026064,-0.34476628031492945,5/8
wide 8 + reversal,inverse-vol,1.3095076324694226,-5.238852751334722,8.004312741753017,-0.8246445984941134,2/8
wide 8 + reversal,HRP,0.9484484748128921,-7.733251371924588,4.3925375672072775,-2.013164074315859,2/8
wide 8 + reversal,RMT-cleaned min-var,0.6423997616057151,-8.329396525055744,2.6291754404850654,-2.6203683706941607,3/8
wide 8 + reversal,min-CVaR 5%,0.9999840442546031,-7.684912803785837,4.7743911835991915,-1.8474142590743845,2/8
