time,open,high,low,close,tick_volume,spread
2015-02-06,1265.15,1268.62,1228.12,1233.12,252503,0
2015-02-09,1235.85,1243.65,1234.11,1239.27,134933,0
2015-02-10,1237.85,1245.82,1230.71,1233.22,163553,0
2015-02-11,1233.79,1238.59,1216.41,1217.18,162774,0
2015-02-12,1218.48,1232.82,1218.02,1222.17,177948,0
2015-02-13,1223.11,1234.82,1222.67,1228.99,157714,0
2015-02-16,1228.28,1236.59,1227.77,1230.79,93667,0
2015-02-17,1230.85,1233.84,1203.58,1209.18,181197,0
2015-02-18,1209.39,1213.32,1197.41,1211.83,168935,0
2015-02-19,1212.75,1222.81,1205.19,1206.77,180007,0
2015-02-20,1207.26,1215.29,1198.01,1201.66,174586,0
2015-02-23,1202.96,1210.22,1189.65,1201.03,157337,0
2015-02-24,1201.92,1204.42,1190.09,1199.81,186694,0
2015-02-25,1201.01,1211.77,1200.85,1204.51,148259,0
2015-02-26,1204.16,1219.84,1203.44,1209.12,184047,0
2015-02-27,1208.52,1219.17,1204.25,1212.78,168613,0
2015-03-02,1215.16,1223.18,1204.34,1206.79,181025,0
2015-03-03,1205.82,1214.76,1195.17,1203.4,198396,0
2015-03-04,1203.54,1209.01,1198.09,1200.13,156357,0
2015-03-05,1200.34,1209.35,1196.33,1198.47,148940,0
2015-03-06,1197.78,1200.66,1163.53,1167.13,235845,0
2015-03-09,1169.03,1175.29,1165.66,1166.6,117072,0
2015-03-10,1167.11,1170.45,1154.93,1161.63,196039,0
2015-03-11,1161.9,1165.19,1147.42,1154.43,168418,0
2015-03-12,1155.23,1166.58,1148.38,1153.52,183883,0
2015-03-13,1153.4,1161.83,1151.2,1158.18,148712,0
2015-03-16,1158.17,1163.97,1150.21,1154.52,101950,0
2015-03-17,1153.91,1159.74,1142.58,1149.24,115501,0
2015-03-18,1149.03,1175.65,1145.78,1167.43,146836,0
2015-03-19,1167.44,1177.71,1159.38,1170.81,161727,0
2015-03-20,1170.44,1187.88,1168.6,1182.22,144536,0
2015-03-23,1183.96,1191.47,1179.18,1189.32,121165,0
2015-03-24,1189.5,1194.91,1185.2,1193.1,116525,0
2015-03-25,1192.69,1199.57,1186.48,1195.17,96068,0
2015-03-26,1195.29,1219.57,1194.3,1204.54,127657,0
2015-03-27,1203.81,1206.05,1192.45,1198.09,108503,0
2015-03-30,1197.96,1198.3,1182.23,1185.61,139098,0
2015-03-31,1185.75,1190.62,1178.29,1183.57,157724,0
2015-04-01,1183.42,1208.51,1180.7,1204.14,176317,0
2015-04-02,1203.77,1207.21,1194.75,1202.07,155483,0
2015-04-03,1201.41,1201.45,1199.64,1199.64,187,76
2015-04-06,1216.03,1224.13,1213.81,1214.39,166124,0
2015-04-07,1214.7,1215.66,1207.31,1208.91,129482,0
2015-04-08,1208.56,1212.21,1197.34,1202.03,166668,0
2015-04-09,1202.53,1203.18,1192.42,1194.15,147609,0
2015-04-10,1194.09,1210.59,1193.01,1207.24,148978,0
2015-04-13,1206.89,1209.41,1196.16,1198.39,161829,0
2015-04-14,1199.03,1201.34,1183.75,1192.3,223111,0
2015-04-15,1192.66,1204.48,1188.76,1202.35,198295,0
2015-04-16,1202.47,1209.08,1194.54,1198.23,233372,0
2015-04-17,1198.78,1207.63,1197.24,1204.27,184567,0
2015-04-20,1204.57,1209.02,1191.2,1195.69,187239,0
2015-04-21,1196.63,1204.15,1192.91,1202.05,139934,0
2015-04-22,1202.38,1204.72,1185.54,1186.88,186099,0
2015-04-23,1187.42,1197.91,1184.15,1193.8,176393,0
2015-04-24,1193.54,1195.88,1175.0,1179.24,175932,0
2015-04-27,1179.45,1207.12,1178.38,1201.79,213766,0
2015-04-28,1202.0,1214.96,1199.04,1212.06,209797,0
2015-04-29,1211.81,1213.99,1201.21,1204.92,222875,0
