time,open,high,low,close,tick_volume,spread
2023-06-28 00:00:00,1914.55,1917.19,1914.26,1916.2,4017,7
2023-06-28 04:00:00,1916.2,1916.8,1913.36,1915.21,10866,7
2023-06-28 08:00:00,1915.19,1916.8,1908.17,1909.97,15363,7
2023-06-28 12:00:00,1910.0,1911.89,1905.58,1906.95,17533,7
2023-06-28 16:00:00,1906.96,1913.23,1902.83,1912.28,32819,7
2023-06-28 20:00:00,1912.29,1913.39,1906.84,1906.88,11379,7
2023-06-29 00:00:00,1907.78,1910.7,1907.78,1909.9,4401,7
2023-06-29 04:00:00,1910.03,1912.77,1902.72,1905.35,12739,7
2023-06-29 08:00:00,1905.36,1908.07,1902.48,1906.18,17194,7
2023-06-29 12:00:00,1906.23,1912.16,1895.48,1896.12,20192,7
2023-06-29 16:00:00,1896.15,1913.07,1892.95,1910.24,38186,7
2023-06-29 20:00:00,1910.2,1910.76,1906.21,1908.3,11142,7
2023-06-30 00:00:00,1908.71,1909.27,1907.04,1908.68,4670,7
2023-06-30 04:00:00,1908.72,1909.73,1906.85,1908.24,10214,7
2023-06-30 08:00:00,1908.26,1909.91,1900.47,1901.87,15687,7
2023-06-30 12:00:00,1902.16,1913.73,1901.47,1911.03,19845,7
2023-06-30 16:00:00,1911.0,1920.56,1909.72,1920.06,34292,7
2023-06-30 20:00:00,1920.06,1922.75,1917.81,1918.83,13553,7
2023-07-03 00:00:00,1918.49,1919.61,1916.75,1917.12,3909,7
2023-07-03 04:00:00,1917.11,1920.2,1914.6,1920.1,11640,7
2023-07-03 08:00:00,1920.1,1920.66,1910.04,1912.0,16564,7
2023-07-03 12:00:00,1911.99,1922.07,1911.59,1921.93,15081,7
2023-07-03 16:00:00,1921.93,1931.03,1919.46,1921.87,30193,7
2023-07-03 20:00:00,1922.02,1922.13,1920.64,1921.62,4209,7
2023-07-04 00:00:00,1921.12,1922.1,1919.87,1921.18,3220,7
2023-07-04 04:00:00,1921.22,1924.49,1920.05,1924.26,10382,7
2023-07-04 08:00:00,1924.26,1928.82,1923.3,1928.58,12645,7
2023-07-04 12:00:00,1928.59,1930.74,1926.24,1926.79,11758,7
2023-07-04 16:00:00,1926.79,1929.56,1924.13,1924.2,10104,7
2023-07-04 20:00:00,1924.2,1925.93,1924.01,1925.72,1404,7
2023-07-05 00:00:00,1926.19,1927.19,1924.86,1926.72,4283,7
2023-07-05 04:00:00,1926.72,1926.81,1923.21,1925.57,9438,7
2023-07-05 08:00:00,1925.57,1928.07,1920.85,1926.99,16308,7
2023-07-05 12:00:00,1926.99,1930.1,1925.14,1929.31,15999,7
2023-07-05 16:00:00,1929.33,1935.07,1919.09,1921.56,34188,7
2023-07-05 20:00:00,1921.57,1921.6,1915.2,1915.28,15504,7
2023-07-06 00:00:00,1916.22,1917.92,1915.54,1917.34,4115,7
