time,open,high,low,close,tick_volume,spread
2015-03-22,1183.96,1219.57,1179.18,1198.09,569918,0
2015-03-29,1197.96,1208.51,1178.29,1199.64,628809,0
2015-04-05,1216.03,1224.13,1192.42,1207.24,758861,0
2015-04-12,1206.89,1209.41,1183.75,1204.27,1001174,0
2015-04-19,1204.57,1209.02,1175.0,1179.24,865597,0
2015-04-26,1179.45,1214.96,1169.66,1178.4,1062137,0
2015-05-03,1178.58,1199.86,1177.65,1188.38,856893,0
2015-05-10,1188.86,1227.24,1178.73,1223.78,960311,0
2015-05-17,1223.58,1232.22,1201.26,1206.26,785743,0
2015-05-24,1204.76,1209.15,1180.06,1190.42,678760,0
2015-05-31,1190.7,1204.2,1162.52,1171.52,875853,0
2015-06-07,1170.26,1192.23,1168.97,1181.47,781989,0
2015-06-14,1180.54,1205.68,1172.59,1200.19,762919,0
2015-06-21,1199.88,1200.88,1168.29,1175.18,655352,0
2015-06-28,1184.26,1187.9,1155.98,1168.58,869350,0
2015-07-05,1173.43,1174.75,1146.97,1163.59,1039318,0
2015-07-12,1162.57,1164.76,1130.92,1134.23,794314,0
2015-07-19,1133.12,1133.21,1069.72,1099.08,1220946,0
2015-07-26,1099.52,1104.93,1079.84,1095.48,1054162,0
2015-08-02,1095.85,1099.43,1080.82,1094.17,979454,0
2015-08-09,1094.4,1126.71,1089.51,1114.82,1202945,0
2015-08-16,1114.41,1168.16,1109.37,1160.54,1123543,0
2015-08-23,1162.09,1170.01,1117.55,1134.02,1754897,0
2015-08-30,1133.73,1147.85,1116.42,1122.33,1126528,0
2015-09-06,1123.39,1126.67,1098.56,1107.68,921199,0
2015-09-13,1107.68,1141.68,1102.15,1139.04,965370,0
2015-09-20,1138.91,1156.65,1121.14,1145.56,989249,0
2015-09-27,1145.08,1148.14,1104.39,1138.72,1156732,0
2015-10-04,1137.71,1159.61,1130.0,1156.53,1075032,0
2015-10-11,1155.24,1191.44,1151.63,1177.14,1119139,0
2015-10-18,1176.61,1180.72,1158.78,1164.37,1183850,0
2015-10-25,1163.77,1182.86,1138.89,1141.74,1209477,0
2015-11-01,1137.45,1142.94,1085.3,1088.62,1096062,0
2015-11-08,1090.1,1095.59,1073.92,1083.54,1030337,0
2015-11-15,1089.45,1098.01,1063.74,1077.98,1316724,0
2015-11-22,1076.63,1081.01,1052.55,1058.04,966143,0
2015-11-29,1057.41,1088.78,1046.23,1086.76,1317327,0
2015-12-06,1085.79,1086.55,1062.24,1074.66,1399742,0
2015-12-13,1073.23,1078.27,1047.5,1065.85,1354067,0
2015-12-20,1065.66,1081.71,1063.91,1076.05,698384,0
2015-12-27,1075.6,1076.86,1057.87,1060.91,660062,0
2016-01-03,1062.34,1113.12,1061.65,1103.85,1686509,0
2016-01-10,1103.96,1108.42,1071.25,1088.72,1564364,0
2016-01-17,1089.26,1109.56,1082.26,1097.78,1534349,0
2016-01-24,1097.23,1127.94,1097.08,1117.99,1301796,0
2016-01-31,1117.48,1174.4,1115.26,1173.06,1641842,0
2016-02-07,1173.19,1263.34,1164.06,1238.13,2113131,0
2016-02-14,1235.46,1239.84,1190.73,1227.29,1666448,0
2016-02-21,1226.16,1253.24,1201.71,1223.32,1346048,0
2016-02-28,1222.41,1279.71,1215.45,1258.78,1384073,0
2016-03-06,1259.75,1284.33,1236.87,1249.23,1308642,0
2016-03-13,1250.56,1270.84,1225.6,1255.04,1055057,0
2016-03-20,1254.3,1260.12,1211.95,1217.12,496065,0
2016-03-27,1215.72,1243.99,1208.15,1222.16,622487,0
2016-04-03,1220.99,1243.19,1214.44,1240.49,636177,0
2016-04-10,1239.84,1262.54,1223.7,1233.73,659036,0
2016-04-17,1234.55,1270.19,1227.26,1232.73,706928,0
2016-04-24,1233.06,1296.62,1229.88,1293.68,627009,0
2016-05-01,1290.51,1303.65,1268.67,1288.8,757533,0
2016-05-08,1284.76,1287.46,1256.63,1273.3,694303,0
2016-05-15,1271.44,1288.62,1243.64,1251.91,1094542,0
2016-05-22,1250.71,1255.94,1206.6,1211.64,984814,0
2016-05-29,1212.93,1244.59,1199.62,1244.51,834834,0
2016-06-05,1242.66,1278.09,1234.59,1274.07,896871,0
2016-06-12,1275.85,1315.54,1272.26,1298.55,1100349,0
2016-06-19,1289.46,1358.25,1250.22,1315.67,1117388,0
2016-06-26,1319.18,1344.49,1305.34,1342.28,1556640,0
2016-07-03,1342.36,1375.05,1335.04,1364.93,1347272,0
2016-07-10,1367.36,1375.0,1320.05,1338.29,1634144,0
2016-07-17,1332.4,1338.25,1310.77,1322.39,1114218,0
2016-07-24,1321.65,1354.9,1311.81,1351.11,1125215,0
2016-07-31,1349.81,1367.21,1334.53,1336.87,1021637,0
2016-08-07,1335.11,1357.11,1329.71,1336.58,997812,0
2016-08-14,1338.01,1357.94,1335.57,1340.92,996370,0
2016-08-21,1340.51,1344.58,1317.85,1321.85,1170501,0
2016-08-28,1320.51,1329.99,1302.3,1324.8,1093689,0
2016-09-04,1324.26,1352.51,1321.64,1327.83,1014823,0
2016-09-11,1328.11,1331.88,1306.09,1309.66,1195438,0
2016-09-18,1309.81,1343.55,1307.62,1338.72,879343,0
2016-09-25,1336.76,1342.02,1313.07,1315.89,1044808,0
2016-10-02,1318.31,1319.52,1241.21,1256.54,870427,0
2016-10-09,1257.25,1264.85,1245.99,1250.43,916641,0
2016-10-16,1251.66,1274.52,1250.03,1266.79,804284,0
2016-10-23,1265.91,1284.1,1259.99,1275.71,788724,0
2016-10-30,1277.26,1307.96,1271.0,1304.27,971837,0
2016-11-06,1293.53,1337.23,1218.88,1227.24,1841223,0
2016-11-13,1228.13,1232.96,1202.51,1208.51,1437306,0
2016-11-20,1207.4,1220.95,1170.11,1183.71,1031682,0
2016-11-27,1184.89,1197.53,1160.54,1176.87,1330386,0
2016-12-04,1180.2,1187.93,1156.07,1158.35,1136120,0
2016-12-11,1159.7,1165.72,1122.49,1134.65,1146082,0
2016-12-18,1134.02,1142.24,1125.57,1133.39,734370,0
2016-12-25,1133.95,1163.15,1131.47,1152.12,510713,0
2017-01-01,1151.6,1184.94,1145.88,1172.59,1040312,0
2017-01-08,1172.49,1206.88,1171.74,1197.33,1275114,0
2017-01-15,1199.45,1218.77,1195.68,1209.94,1219290,0
2017-01-22,1209.5,1219.85,1180.34,1191.49,1135916,0
2017-01-29,1192.62,1225.21,1188.05,1219.95,1438606,0
2017-02-05,1219.7,1244.64,1219.02,1233.68,1364374,0
2017-02-12,1232.52,1243.71,1216.43,1234.83,1269962,0
2017-02-19,1235.18,1260.05,1225.94,1256.98,1113883,0
2017-02-26,1257.95,1263.79,1222.67,1234.42,1347790,0
2017-03-05,1233.2,1236.76,1194.77,1204.43,1174150,0
2017-03-12,1205.43,1233.67,1197.04,1229.25,1080778,0
2017-03-19,1229.25,1253.22,1226.68,1245.57,1125473,0
2017-03-26,1246.15,1260.97,1239.47,1248.96,988004,0
2017-04-02,1247.63,1270.83,1243.6,1254.3,1207025,0
2017-04-09,1254.5,1288.54,1246.99,1287.44,1001409,0
2017-04-16,1291.75,1295.45,1273.98,1284.29,1149823,0
2017-04-23,1273.16,1278.06,1259.91,1267.99,1143179,0
2017-04-30,1268.44,1271.15,1225.62,1227.56,988847,0
2017-05-07,1222.69,1236.5,1214.18,1228.48,977973,0
2017-05-14,1228.42,1265.0,1226.83,1255.33,1225561,0
2017-05-21,1256.78,1269.39,1247.82,1266.94,1008593,0
2017-05-28,1266.34,1279.4,1258.93,1278.56,804275,0
2017-06-04,1279.34,1296.01,1264.55,1266.6,1022640,0
2017-06-11,1266.89,1280.85,1251.36,1253.38,1012172,0
2017-06-18,1253.85,1258.8,1240.76,1256.61,923093,0
2017-06-25,1257.05,1258.03,1235.85,1241.43,1113999,0
2017-07-02,1241.4,1242.68,1207.17,1212.2,902294,0
2017-07-09,1213.46,1232.77,1204.79,1228.81,690800,0
2017-07-16,1228.75,1255.63,1228.15,1254.7,861783,0
2017-07-23,1254.74,1270.77,1243.62,1268.91,1104731,0
2017-07-30,1269.71,1274.04,1254.09,1258.73,936638,0
2017-08-06,1258.64,1291.93,1251.41,1290.41,1001843,0
2017-08-13,1289.38,1300.74,1267.2,1284.62,1042193,0
2017-08-20,1283.63,1294.52,1274.36,1291.47,906726,0
2017-08-27,1292.82,1328.76,1291.71,1324.59,1047347,0
2017-09-03,1334.2,1357.43,1326.19,1346.48,1087895,0
2017-09-10,1334.62,1339.96,1315.56,1320.29,1088161,0
2017-09-17,1319.38,1319.82,1288.07,1296.89,1041537,0
