mode,order,stop,rr,lo,n_tr,sr_tr,net_tr,n_te,sr_te,net_te,hit_te
sweep,3,1.0,1.0,True,1908,-2.8857034420646888,-60.22140082406647,747,-1.6477692969422348,-26.55069887113804,50.0669344042838
sweep,3,1.0,1.0,False,3409,-3.1183171842026773,-73.13344231196643,1399,-2.5078243170300833,-45.344680361622444,49.035025017869906
sweep,3,1.0,1.5,True,1832,-2.4174161005630785,-59.86511219254804,719,-0.3775299186477777,-8.894890570038044,43.254520166898466
sweep,3,1.0,1.5,False,3096,-2.2739428960021284,-67.38539463996003,1285,-1.388235911944994,-33.181765707675055,40.778210116731515
sweep,3,1.0,2.0,True,1775,-1.7834317988640687,-52.75318167217563,698,0.10636158046691396,1.799484767594592,37.96561604584527
sweep,3,1.0,2.0,False,2801,-1.70734309592191,-60.01320059341085,1175,-0.9871105643500653,-27.74034860147529,34.72340425531915
sweep,3,1.0,3.0,True,1704,-1.4006505359064805,-49.28553116719425,672,0.3709734189523201,10.684583115178654,30.80357142857143
sweep,3,1.0,3.0,False,2497,-1.0674676195077744,-48.21120602036195,1054,-0.4037128315985071,-15.133136596215962,28.368121442125236
sweep,3,1.5,1.0,True,1617,-1.8640736417114836,-56.161000182164564,655,-0.28630224938957194,-8.262425955822067,53.12977099236641
sweep,3,1.5,1.0,False,2670,-1.864257367181121,-64.99131410483199,1151,-1.37789011864752,-37.51912347188495,50.130321459600346
sweep,3,1.5,1.5,True,1535,-1.3273347880207975,-49.018186941850075,618,-0.17035326588515493,-6.6307748745644375,43.85113268608414
sweep,3,1.5,1.5,False,2318,-0.9858837242571109,-46.54433553441005,998,-0.9579176121373941,-31.378706917893467,41.08216432865731
sweep,3,1.5,2.0,True,1485,-1.020815730706508,-43.60682503314275,599,0.057321368020020795,0.2246980826026146,39.23205342237062
sweep,3,1.5,2.0,False,2117,-0.7995468844566319,-42.49395144708553,914,-0.5790429789771396,-22.21459054989235,37.08971553610503
sweep,3,1.5,3.0,True,1438,-0.8706900195720056,-41.04544535275792,577,0.35118268522424917,11.444740996380887,36.741767764298096
sweep,3,1.5,3.0,False,1957,-0.8139203193177106,-44.446845000025405,854,-0.49227968901714775,-20.596419131129963,33.37236533957845
sweep,3,2.0,1.0,True,1442,-1.2540298633244926,-49.01042627751464,568,0.07776290057819961,0.9555991287351304,54.22535211267606
sweep,3,2.0,1.0,False,2190,-1.1256571013873087,-52.89194521973608,922,-0.8368861406992677,-29.275774580692115,51.19305856832972
