tag,sr,dd,h1,h2
GOLD/SILVER,-0.009003864584797884,-38.50612627460853,0.41739296629537054,-0.42220542973066205
GOLD/PLAT,-0.29182773407516904,-33.64236228042669,-0.1635571406021617,-0.40414362026504574
PLAT/PALL,-0.2503119486431369,-40.93424091455693,0.17353966065629464,-0.6990271214828089
COPPER/GOLD,-0.3642754076478186,-48.481488416326414,0.23872309394677171,-0.9823532562594892
WTI/BRENT,-0.16924362253252273,-71.95394823689382,0.31118696496979104,-2.05880347331291
HEATOIL/GASOIL,-0.33083669010050387,-37.98789984338802,-0.15396990126495852,-0.4919512759460055
BRENT/NATGAS,-0.5906263763761771,-53.17086769486454,-0.27875425546393245,-0.8731012327152952
NDX/SPX,0.5461576908584129,-21.295694762685248,0.7309912601877808,0.3716790888698219
NDX/DJI,0.5228772607346971,-19.21885439976886,0.75997174154813,0.29106223211383453
SPX/DJI,0.07622841119556739,-23.299787051070233,0.11236581553049699,0.0399437760879239
UST2Y/UST10Y,0.06938496309003017,-31.34923048724909,0.4770842791020949,-0.38675449243134497
UST10Y/UST30Y,-0.14979638255980995,-31.6926733769625,0.12598016727797098,-0.44936229837721287
BTC/ETH,0.3027165571670457,-27.645041715685824,0.5341173008175303,0.10687888516709228
AUDUSD/NZDUSD,-0.19859638057424972,-42.18394749778043,-0.5883469649275518,0.08904188210896989
CORN/WHEAT,-0.43263215461824317,-40.380220690740146,-0.2903086219078789,-0.5863880798833787
BASKET,0.12185589518284214,-20.976881546711624,0.934808275674569,-0.8538037286059368
