sym,long_only,best,sr,dd,dsr,pbo,n_pos,n_cells
EURUSD,True,"(20, 3.5)",-0.22340534418605,-22.184386387490807,0.18929383421766766,0.8452380952380952,0,9
EURUSD,False,"(20, 3.5)",-0.17028392009387494,-25.19476974338578,0.20165546459106176,0.8611111111111112,0,9
GBPUSD,True,"(20, 3.5)",0.10247460622205395,-13.992487607290393,0.44449409096933346,0.40476190476190477,3,9
GBPUSD,False,"(20, 3.5)",0.3007588841235048,-15.780089497479155,0.5792923445120247,0.373015873015873,6,9
USDJPY,True,"(14, 2.5)",0.5366054151066872,-18.996901906407714,0.904715691675209,0.7261904761904762,9,9
USDJPY,False,"(14, 2.5)",0.20492019984411927,-26.442655117279113,0.5267549581231555,0.6587301587301587,6,9
USDCHF,True,"(20, 3.5)",-0.13208910926180534,-15.589694082459104,0.20127909033870395,0.2261904761904762,0,9
USDCHF,False,"(20, 3.5)",0.15935164430302726,-22.276948400551746,0.42077303063868565,0.21031746031746032,1,9
USDCAD,True,"(20, 3.0)",0.3222854754414822,-12.299880850910183,0.7245261001421003,0.5277777777777778,9,9
USDCAD,False,"(20, 3.0)",0.11837187428667365,-17.1097842011667,0.40281581679245265,0.5158730158730159,4,9
AUDUSD,True,"(14, 2.5)",-0.09466489260348107,-18.039984649816677,0.19655602183143878,0.047619047619047616,0,9
AUDUSD,False,"(14, 2.5)",0.14143855825049265,-19.993613498205043,0.33239904240150975,0.05952380952380952,2,9
NZDUSD,True,"(20, 3.0)",-0.15725500340301,-20.9153603932976,0.2118439577957935,0.6349206349206349,0,9
NZDUSD,False,"(20, 3.0)",0.15015431335081963,-22.164349413559638,0.48284083869706823,0.623015873015873,5,9
EURJPY,True,"(10, 3.5)",0.2239018514641815,-13.55192429772536,0.5690517457497751,0.35714285714285715,7,9
EURJPY,False,"(10, 3.5)",-0.15337163288212396,-32.07927464111909,0.11062578182288818,0.3968253968253968,0,9
EURGBP,True,"(20, 2.5)",-0.3394233892515918,-29.908011500122235,0.05404398307385193,0.45634920634920634,0,9
EURGBP,False,"(20, 2.5)",-0.6185795410445796,-53.260806156906426,0.0016963404289941002,0.36904761904761907,0,9
EURAUD,True,"(20, 2.5)",0.33970107123685034,-12.791973199683703,0.6974097186773195,0.10317460317460317,8,9
EURAUD,False,"(20, 2.5)",0.26622965899711376,-12.953215204909919,0.48744493124747035,0.1349206349206349,3,9
EURCHF,True,"(10, 3.5)",-0.4906645647387034,-29.365286558299854,0.013708995705335188,0.23015873015873015,0,9
EURCHF,False,"(10, 3.5)",-0.10862659186862152,-20.86370884756955,0.08262480919249854,0.25396825396825395,0,9
GBPJPY,True,"(14, 3.5)",0.24907699197559255,-12.21880959955205,0.6418631379882421,0.4166666666666667,8,9
GBPJPY,False,"(14, 3.5)",-0.15784870527246425,-28.42996285964505,0.14567628857786508,0.3888888888888889,0,9
GBPAUD,True,"(10, 3.0)",0.1112497752571143,-14.144399477708536,0.5174367392979978,0.6984126984126984,5,9
GBPAUD,False,"(10, 3.0)",-0.0321761673943848,-23.136114781701135,0.28567211894664324,0.6904761904761905,0,9
GBPCHF,True,"(10, 2.5)",-0.24155599892701188,-23.386773686643668,0.10234088358431737,0.39285714285714285,0,9
GBPCHF,False,"(10, 2.5)",0.07732394900442115,-29.12826451722391,0.29336581860822364,0.3968253968253968,3,9
AUDJPY,True,"(14, 3.5)",0.5537021766739413,-16.94119344197932,0.7808873413717672,0.07936507936507936,9,9
AUDJPY,False,"(14, 3.5)",0.5776713953947136,-17.90758738484053,0.6734449746223521,0.07936507936507936,7,9
AUDNZD,True,"(20, 2.5)",0.4272613327204318,-12.351624861711619,0.8415505491629762,0.6111111111111112,9,9
AUDNZD,False,"(20, 2.5)",0.3179068388154417,-24.178526340181293,0.6861330129562501,0.5515873015873016,9,9
CADJPY,True,"(20, 3.5)",0.28814453089061104,-14.78689339562893,0.5743428558853265,0.32142857142857145,7,9
CADJPY,False,"(20, 3.5)",0.05971544064303934,-24.601993822360058,0.2101666116339742,0.29365079365079366,2,9
NZDJPY,True,"(14, 3.5)",-0.05232390643022572,-18.96718976312218,0.33736883611248325,0.7619047619047619,0,9
NZDJPY,False,"(14, 3.5)",-0.28329715443702086,-31.510417466080987,0.10941134311214301,0.7420634920634921,0,9
