label,mode,coverage,sharpe,dsharpe,paired_t,turnover,dd,yrs
geometric BOTTOMS,BOOST b=0.25,0.356,1.051,0.015,1.95,26.3,-18.2,7/10
geometric BOTTOMS,BOOST b=1.0,0.356,1.024,-0.012,1.08,55.8,-20.5,6/10
geometric BOTTOMS,long standalone,0.356,0.289,-0.747,-3.39,120.9,-6.7,-
geometric TOPS (§3 answer key),trim b=0.25,0.356,1.291,0.255,3.74,34.9,-13.7,9/10
geometric TOPS (§3 answer key),trim b=1.0,0.356,1.819,0.783,2.3,123.1,-13.7,7/10
geometric BOTTOMS (inverted->trim),trim b=0.25,0.356,0.995,-0.041,-3.03,36.0,-17.3,1/10
geometric BOTTOMS (inverted->trim),trim b=1.0,0.356,1.071,0.035,-0.94,117.8,-15.4,4/10
economic fwd-12bar down,trim b=0.25,0.472,1.827,0.791,11.6,34.3,-10.7,10/10
economic fwd-12bar down,trim b=1.0,0.472,4.994,3.958,11.4,140.8,-4.0,10/10
economic fwd-24bar down,trim b=0.25,0.461,1.653,0.617,8.59,30.4,-10.9,10/10
economic fwd-24bar down,trim b=1.0,0.461,3.875,2.839,8.01,106.7,-4.0,10/10
economic fwd-48bar down,trim b=0.25,0.44,1.5,0.464,5.76,25.3,-10.8,10/10
economic fwd-48bar down,trim b=1.0,0.44,3.03,1.994,5.22,69.8,-7.3,10/10
champ-meta fwd-12bar P&L<0,trim b=0.25,0.435,1.86,0.824,11.7,34.0,-10.3,10/10
champ-meta fwd-12bar P&L<0,trim b=1.0,0.435,5.31,4.274,11.8,141.5,-4.0,10/10
champ-meta fwd-24bar P&L<0,trim b=0.25,0.445,1.702,0.666,8.59,29.2,-10.0,10/10
champ-meta fwd-24bar P&L<0,trim b=1.0,0.445,4.172,3.136,7.94,102.0,-4.0,10/10
champ-meta fwd-48bar P&L<0,trim b=0.25,0.463,1.546,0.51,5.54,24.1,-10.9,10/10
champ-meta fwd-48bar P&L<0,trim b=1.0,0.463,3.287,2.251,4.86,65.2,-4.0,10/10
downside-quantile k24 q30,trim b=0.25,0.288,1.733,0.697,10.76,26.8,-11.3,10/10
downside-quantile k24 q30,trim b=1.0,0.288,4.353,3.317,11.12,87.3,-3.3,10/10
downside-quantile k48 q30,trim b=0.25,0.287,1.567,0.531,7.47,23.9,-11.1,10/10
downside-quantile k48 q30,trim b=1.0,0.287,3.387,2.351,7.16,61.5,-3.8,10/10
