label,mode,coverage,sharpe,dsharpe,paired_t,turnover,dd,yrs
geometric BOTTOMS,BOOST b=0.25,0.356,1.058,0.017,2.01,26.3,-18.1,7/10
geometric BOTTOMS,BOOST b=1.0,0.356,1.037,-0.004,1.21,55.8,-20.4,6/10
geometric BOTTOMS,long standalone,0.356,0.366,-0.675,-3.31,120.9,-6.3,-
geometric TOPS (§3 answer key),trim b=0.25,0.356,1.3,0.259,3.83,34.9,-13.5,9/10
geometric TOPS (§3 answer key),trim b=1.0,0.356,1.858,0.817,2.45,123.1,-13.3,7/10
geometric BOTTOMS (inverted->trim),trim b=0.25,0.356,1.005,-0.036,-2.92,36.0,-17.2,1/10
geometric BOTTOMS (inverted->trim),trim b=1.0,0.356,1.105,0.064,-0.78,117.8,-15.2,4/10
economic fwd-12bar down,trim b=0.25,0.472,1.837,0.796,11.67,34.3,-10.7,10/10
economic fwd-12bar down,trim b=1.0,0.472,5.042,4.001,11.53,140.8,-4.0,10/10
economic fwd-24bar down,trim b=0.25,0.461,1.661,0.62,8.64,30.4,-10.7,10/10
economic fwd-24bar down,trim b=1.0,0.461,3.911,2.87,8.11,106.7,-4.0,10/10
economic fwd-48bar down,trim b=0.25,0.44,1.507,0.466,5.78,25.3,-10.7,10/10
economic fwd-48bar down,trim b=1.0,0.44,3.052,2.011,5.27,69.8,-7.3,10/10
champ-meta fwd-12bar P&L<0,trim b=0.25,0.435,1.87,0.829,11.76,34.0,-10.3,10/10
champ-meta fwd-12bar P&L<0,trim b=1.0,0.435,5.358,4.317,11.94,141.5,-4.0,10/10
champ-meta fwd-24bar P&L<0,trim b=0.25,0.445,1.71,0.669,8.63,29.2,-10.0,10/10
champ-meta fwd-24bar P&L<0,trim b=1.0,0.445,4.207,3.166,8.03,102.0,-4.0,10/10
champ-meta fwd-48bar P&L<0,trim b=0.25,0.463,1.553,0.512,5.56,24.1,-10.9,10/10
champ-meta fwd-48bar P&L<0,trim b=1.0,0.463,3.31,2.269,4.91,65.2,-4.0,10/10
downside-quantile k24 q30,trim b=0.25,0.288,1.741,0.7,10.79,26.8,-11.2,10/10
downside-quantile k24 q30,trim b=1.0,0.288,4.379,3.338,11.18,87.3,-3.3,10/10
downside-quantile k48 q30,trim b=0.25,0.287,1.574,0.533,7.48,23.9,-11.0,10/10
downside-quantile k48 q30,trim b=1.0,0.287,3.405,2.364,7.2,61.5,-3.7,10/10
