tag,kind,sr,dd,h1,h2,t,yy,d1,d2,keep
"tick bars @3/day (12,525 bars)",repl,1.0096550481322766,-19.189275265853965,0.5718485551823914,1.3615580353902166,-0.804832394224566,3/9,-0.12917453847124005,-0.056688506168377506,False
"tick bars @6/day (23,564 bars)",repl,1.1041722509875462,-18.733900083001554,0.659916361523092,1.4608388662103098,0.13447045548707132,7/9,-0.04110673213053806,0.04259232465171703,False
"tick bars @12/day (42,323 bars)",repl,0.9805525363709144,-28.155343691596546,0.3131856149184354,1.5266161782816583,-0.8012102294312438,3/9,-0.38783747873519553,0.10836963672306643,False
"dollar bars @3/day (13,011 bars)",repl,0.9924219565409163,-19.549119126071403,0.5460631284864715,1.350654828353956,-0.9668028899809993,3/9,-0.15495996516715949,-0.06759171320463908,False
"dollar bars @6/day (24,404 bars)",repl,1.073766946523342,-19.94119688660256,0.6259743045635162,1.4369505342101725,-0.4823382751848699,6/9,-0.07504878909011414,0.018703992651578405,False
"dollar bars @12/day (43,767 bars)",repl,0.9826628085284304,-27.688841127177543,0.29312227452548645,1.5568318138081336,-0.7709551596180274,3/9,-0.40790081912814435,0.1385852722495402,False
VW path hl=12 bars,repl,1.1571431678276616,-22.353280916304065,0.8406356932132703,1.4166284826260847,0.5479427897418119,5/9,0.13961259955963956,-0.0016180589325092143,False
VW path hl=60 bars,repl,1.1585000958406229,-23.301503390418844,0.8692396229224791,1.3893437033545037,0.49000760983170133,6/9,0.16821652926884845,-0.028902838204089898,False
vol-expansion q>0.30 lo=0.5,ovl,0.9307259853246468,-16.534748960801025,0.49870985910483506,1.2733962657346878,-2.386900830549767,2/9,-0.20231323454879568,-0.14485027582390586,False
vol-expansion q>0.50 lo=0.5,ovl,0.8988732292141258,-16.26162517741898,0.49486795252867,1.2195089403144144,-2.2805981192111515,4/9,-0.20615514112496053,-0.19873760124418083,False
vol-expansion q>0.50 lo=0.0,ovl,0.6029587110852883,-19.223875707727444,0.2277027783967231,0.8995023395466031,-2.6547868196409214,3/9,-0.47332031525690776,-0.5187442020119903,False
PV-divergence win=60 lo=0.5,ovl,1.1105798113071426,-18.032188056095766,0.704540199342089,1.4447392335743996,0.3712189486351226,5/9,0.0035171056884580887,0.026492692015806174,False
PV-divergence win=240 lo=0.5,ovl,1.1153006008861388,-18.151975722923495,0.7132210979505365,1.4499001487736445,0.6336816725403017,3/9,0.012198004296905762,0.03165360721505084,False
PV-divergence win=240 lo=0.0,ovl,1.126490545040413,-16.849164493522373,0.7303163745775572,1.4691606313366492,0.46475567230466514,3/9,0.029293280923926357,0.05091408977805534,False
Amihud win=252d lo=0.5,ovl,1.109251199661907,-12.93549741812614,0.7409069456429673,1.4053148002652416,0.16313374543660666,5/9,0.03988385198933675,-0.012931741293352284,False
Amihud win=504d lo=0.5,ovl,1.1168941277803524,-14.18441165568256,0.7178995624794146,1.4379364333299034,0.2614707095820644,3/9,0.016876468825783753,0.019689891771309087,False
Amihud win=252d lo=0.25,ovl,1.0799722636691995,-10.886384242234836,0.7537392061751288,1.3420093730058387,-0.15254520863607243,4/9,0.05271611252149799,-0.07623716855275431,False
