idea,name,sharpe,dd,dd_matched,t_raw,t_vs_base,years_better,yp,yn,calmar
1_vol,vol:close2close(base),1.0839824218222827,-19.7906632156965,-19.7906632156965,0.0,0.0,0/9,0,9,5.4772415153957414
1_vol,vol:parkinson,1.1168814439440742,-19.328461056562794,-20.055595798523452,-0.4261174207329745,1.6253814046027353,7/9,7,9,5.778429232806652
1_vol,vol:garman_klass,1.1311098502274044,-19.11107880869628,-20.052856832503394,-0.2984298547697781,1.752829421473549,7/9,7,9,5.918608057399176
1_vol,vol:rogers_satchell,1.1494236894947505,-19.22329717617376,-20.271112980860984,0.06288255298317119,2.1098078496984174,7/9,7,9,5.979326433757676
1_vol,vol:yang_zhang,1.1452576636458047,-19.355975793417123,-20.501554312235815,-0.20694696204660912,2.2549422195938362,7/9,7,9,5.916816986490041
2_agreement,agree:lo=0.3,1.0535391384949537,-19.94104491412586,-20.808008209380034,-2.07974383349018,-0.8740319092118606,3/9,3,9,5.283269472747872
2_agreement,agree:lo=0.5,1.0654197747464829,-19.868250701407998,-20.498869879261996,-2.0211889531334593,-0.7587058809870711,3/9,3,9,5.362423651474159
2_agreement,agree:lo=0.7,1.0749237188628908,-19.787638532208952,-20.169981016127426,-1.947295521799377,-0.6295818321786898,3/9,3,9,5.432299145313395
3_age,"ignition:bars<=6,lo=0.3",1.0681820827152304,-19.139145868900155,-19.277822564862124,-0.9316318598958687,-0.616294319796242,2/9,2,9,5.58113768520337
3_age,"ignition:bars<=6,lo=0.6",1.0763011281260944,-19.456379043927065,-19.55162146853836,-0.8708617295812949,-0.5076395323316464,2/9,2,9,5.531867598262284
3_age,"ignition:bars<=12,lo=0.3",1.1137624767422813,-15.432979121368584,-15.680617960626142,0.27088426431430357,0.6837799402705774,6/9,6,9,7.216769153793256
3_age,"ignition:bars<=12,lo=0.6",1.1030102373049977,-17.315377547946543,-17.507897967103236,0.25319129313976485,0.7567334047033313,6/9,6,9,6.370119474731323
3_age,"ignition:bars<=24,lo=0.3",1.0647261311855738,-18.703247966769265,-19.25090194021789,-0.8327354878150197,-0.31677495713788106,5/9,5,9,5.692733866745023
3_age,"ignition:bars<=24,lo=0.6",1.078355156238464,-18.731449628669793,-19.112503718431206,-0.8099987332117601,-0.1623580935644554,4/9,4,9,5.756923129900026
3_age,"age:start=30,floor=0.4",1.0413037345090934,-11.525170153373665,-20.33663688012357,-2.8667139879571573,-0.3335554057826018,5/9,5,9,9.035040009403083
3_age,"age:start=30,floor=0.7",1.0917525701771027,-13.969763927748824,-18.253605680509487,-2.818742879392625,0.17117754416601139,5/9,5,9,7.815111091523181
3_age,"age:start=60,floor=0.4",0.9874981967971163,-12.272843343435003,-19.42853848681605,-2.8257389067844576,-0.696855648718453,4/9,4,9,8.046205505632479
3_age,"age:start=60,floor=0.7",1.0741425499097903,-15.270267445449326,-19.188540687572832,-2.7683388999009546,-0.18606332489666735,5/9,5,9,7.0342091502129795
3_age,"age:start=120,floor=0.4",0.978481993910729,-13.687732346066749,-19.349122967968803,-2.6067513300291822,-0.7463882116516211,6/9,6,9,7.14860554817834
3_age,"age:start=120,floor=0.7",1.0667808401011178,-16.227862595526155,-19.494062782662137,-2.569978532163576,-0.2976620700750019,6/9,6,9,6.573760615863347
4_cloud,"cloud:tight(0.85-1.15,conc1.25-1.75)",1.078176544664254,-19.87728493263464,-19.870135076197403,-0.7391537243178946,-0.79582608487491,4/9,4,9,5.424164056199131
4_cloud,"cloud:wide(0.7-1.3,conc1.25-1.75)",1.0719212899285802,-20.23890992030467,-20.229296050782064,-0.8874508757013853,-0.9295424082756731,3/9,3,9,5.296339052594804
4_cloud,"cloud:speed-only(0.7-1.3,conc1.5)",1.0719011594115548,-20.25171973581823,-20.236890291838762,-0.8717130590065157,-0.9370910326972639,3/9,3,9,5.292889558982665
5_skew,"skew:w=60,sign=+1",1.0160586001682446,-16.47031412670049,-20.933437727659243,-3.3396601803139525,-1.3032980993240713,3/9,3,9,6.1690298821992915
5_skew,"skew:w=60,sign=-1",1.1132800388168487,-13.591673015678152,-18.033706894292077,-2.567431426148245,0.5184025297711525,6/9,6,9,8.190897746971011
5_skew,"skew:w=120,sign=+1",1.0386469015103577,-15.382132136717475,-19.869041156411438,-3.013098152819842,-0.7309998338296798,3/9,3,9,6.75229475523153
5_skew,"skew:w=120,sign=-1",1.0946125031659955,-14.404313768648702,-18.793538848170076,-2.5873633947087455,0.16959354428234763,6/9,6,9,7.599199245079228
5_skew,semivol:w=60,1.0575751542693905,-16.920505952055585,-20.36008440375091,-3.127383457161051,-0.7230971249289512,4/9,4,9,6.250257275202289
5_skew,semivol:w=120,1.0600300848657327,-16.480176027703152,-20.352986584378073,-3.2157946704724996,-0.7486415610164144,2/9,2,9,6.43215268504307
