signal,rule,params,turnover,gross,net12,net34,net44,long_only44
ewmac(12-60h),fc_follow,-,58.22290504147548,0.4787458545395706,0.3876506290341448,0.32546430850787744,0.2973187450961959,0.7672513752870742
ewmac(12-60h),sig_decay,decay=0.3,77.04596977191738,0.4673024040608986,0.3375652379492126,0.2490382730303289,0.20898158310148882,0.701922907910619
ewmac(12-60h),sig_decay,decay=0.5,81.34967415763646,0.42556312107913735,0.28491343533316565,0.1889851402375209,0.14559169081363726,0.6277472629683342
ewmac(12-60h),sig_decay,decay=0.7,87.45151437914215,0.5353075706070609,0.38048877589155217,0.27492471573186833,0.22718080874801047,0.6860291254354409
ewmac(12-60h),sig_flip,-,58.22290504147548,0.4787458545395706,0.3876506290341448,0.32546430850787744,0.2973187450961959,0.7672513752870742
ewmac(12-60h),time_cap,cap_h=6,239.67413104405597,0.6040095743644164,0.42910390841520074,0.3093129662284578,0.25498954406495145,0.7218255609000405
ewmac(12-60h),time_cap,cap_h=12,207.7870361376976,0.500162719554852,0.3458906158239518,0.24020601970432934,0.19227232612060732,0.6850568788732878
ewmac(12-60h),time_cap,cap_h=15,195.9430030166985,0.512108318730602,0.36613326118070794,0.2661644017515474,0.22083143794823626,0.583177341106613
ewmac(12-60h),time_cap,cap_h=24,161.70305186092125,0.44346754695759305,0.31445269694245614,0.2260970860305636,0.18602970487744117,0.5933758173660297
ewmac(12-60h),r_target,r_target=1.0,135.91273953980846,0.5543876206115205,0.4567131284681876,0.38973655633423376,0.3593415590990799,0.6641998097160888
ewmac(12-60h),r_target,r_target=2.0,107.77248964464053,0.4985842527159926,0.41897546444357464,0.3644262051053111,0.33968129196514507,0.6614300576732458
ewmac(12-60h),r_target,r_target=3.0,90.89112954042459,0.21218189309206997,0.1415177845413584,0.09310765242719585,0.07115032020694562,0.4445299185300106
ewmac(12-60h),decay_or_cap,"decay=0.5,cap_h=6",240.1404536739188,0.6663591710299507,0.4878438125200423,0.36561117028465345,0.3101888838256529,0.7487803198858198
ewmac(12-60h),decay_or_cap,"decay=0.5,cap_h=12",209.97815772634198,0.5086578980993924,0.3501883071266745,0.2417201424158754,0.1925486667991221,0.6340704032724026
ewmac(12-60h),decay_or_cap,"decay=0.5,cap_h=15",201.45342411193258,0.49171100684920793,0.33740173029488424,0.23183595141017624,0.18399473160493612,0.6123413520303864
ewmac(12-60h),decay_or_cap,"decay=0.5,cap_h=24",170.45467157455758,0.5320862592899591,0.3886339967980009,0.2904993682442031,0.24602672619021224,0.6490850409735274
ewmac(6-48h),fc_follow,-,92.21085283124741,0.5255264361502269,0.39510491061484887,0.3063962953290406,0.26633467689439627,0.7811422152187223
ewmac(6-48h),sig_decay,decay=0.3,129.25231232595166,0.6181962328965512,0.4131985402910384,0.2739424019867872,0.21110351104683361,0.6963457746552173
ewmac(6-48h),sig_decay,decay=0.5,139.46662054376247,0.6086270142873191,0.38075649040254306,0.22607219262992284,0.15630250124277062,0.723671102464175
ewmac(6-48h),sig_decay,decay=0.7,150.50756901501356,0.7096869190219255,0.4566595404860906,0.28492814257198545,0.2074798636796362,0.7398971018390863
ewmac(6-48h),sig_flip,-,92.21085283124741,0.5255264361502269,0.39510491061484887,0.3063962953290406,0.26633467689439627,0.7811422152187223
ewmac(6-48h),time_cap,cap_h=6,340.12292246463556,0.7778765334422106,0.5203143430050812,0.34431343881212007,0.26461260943418347,0.7862859146217138
ewmac(6-48h),time_cap,cap_h=12,276.8732261762373,0.629607323422068,0.4152404215929281,0.26873633303888356,0.20238556584217138,0.6962314493044012
ewmac(6-48h),time_cap,cap_h=15,254.5965913179959,0.6077099851679195,0.4110600316940265,0.2766659929157592,0.21579960436377624,0.6416977678380634
ewmac(6-48h),time_cap,cap_h=24,203.90134548141515,0.4167806309741116,0.24450771169240876,0.1268148660582997,0.07352274299563946,0.6004439273041142
ewmac(6-48h),r_target,r_target=1.0,188.3093274124626,0.5384897705971702,0.411234022351508,0.32416200764473935,0.28469931830789263,0.5845875092996174
ewmac(6-48h),r_target,r_target=2.0,148.7615822734764,0.3289424935921523,0.21485935839978065,0.1369013976571135,0.10159620455444307,0.4668440160856496
ewmac(6-48h),r_target,r_target=3.0,124.83810420033663,0.2505654196605246,0.14854769256009606,0.07882806772968681,0.04725184324666359,0.38934640541939136
ewmac(6-48h),decay_or_cap,"decay=0.5,cap_h=6",343.11842109761284,0.7823955747076998,0.5175100354621552,0.33650380326684687,0.25453687547001413,0.7544000345306703
ewmac(6-48h),decay_or_cap,"decay=0.5,cap_h=12",291.8194573552033,0.6806654521438856,0.4406044545743745,0.27660320701372487,0.2023465205481626,0.7538870659940369
ewmac(6-48h),decay_or_cap,"decay=0.5,cap_h=15",273.92388412084574,0.6074718899064355,0.37758934934264304,0.22061240420902864,0.14955430202763034,0.6569837646898702
ewmac(6-48h),decay_or_cap,"decay=0.5,cap_h=24",228.77957328315054,0.3203870627343037,0.10019714469861322,-0.050068049720910446,-0.11806260963895607,0.5113543106238341
breakout(12-48h),fc_follow,-,160.02861937944152,0.48737286495858634,0.25531354334903195,0.09842387103267097,0.02783193630747135,0.6078213500515005
breakout(12-48h),sig_decay,decay=0.3,253.18800059395448,0.6066234432501375,0.21379017750886345,-0.05114942150367539,-0.17017161553727878,0.5728240775359912
breakout(12-48h),sig_decay,decay=0.5,279.7620642606054,0.6643213058255741,0.22666177390350867,-0.06808920196310246,-0.20038514922734055,0.5707809376363181
breakout(12-48h),sig_decay,decay=0.7,310.8478595040222,0.7343938615777521,0.24448690779260496,-0.08482641810555269,-0.23245597068166773,0.5615939045911034
breakout(12-48h),sig_flip,-,160.02861937944152,0.48737286495858634,0.25531354334903195,0.09842387103267097,0.02783193630747135,0.6078213500515005
breakout(12-48h),time_cap,cap_h=6,473.0345087956199,0.7795973718783099,0.3718944442618955,0.09428441605061456,-0.03115106027962838,0.6454443877381005
breakout(12-48h),time_cap,cap_h=12,348.68893359404797,0.6408105187863228,0.3247337757495041,0.10946121851544939,0.01217304172388728,0.7007167959577579
breakout(12-48h),time_cap,cap_h=15,313.77124015095285,0.5483269390023682,0.26565393597851755,0.07315764317912951,-0.013832897646665655,0.763772730065441
breakout(12-48h),time_cap,cap_h=24,251.2277721221723,0.4754837808742577,0.23135518468667118,0.06528193288610905,-0.009722740806707016,0.6206207388808866
breakout(12-48h),r_target,r_target=1.0,253.58934542765542,0.46294767158286326,0.2665867778364347,0.1327097435758939,0.07216535965928579,0.6216181287268934
breakout(12-48h),r_target,r_target=2.0,210.28044280915037,0.529415223869676,0.33992871217693005,0.2108688440132922,0.15253820802216578,0.5802013384589222
breakout(12-48h),r_target,r_target=3.0,184.76211334320848,0.25473816813649763,0.056701124598723986,-0.07788158106949704,-0.13862570679339153,0.44007561699564585
breakout(12-48h),decay_or_cap,"decay=0.5,cap_h=6",511.94244207800654,0.8031156183360597,0.33428544710901026,0.015350159690058998,-0.12866755395795787,0.5084604126576784
breakout(12-48h),decay_or_cap,"decay=0.5,cap_h=12",415.5165735004032,0.8293863281908292,0.39824914060073147,0.1050759359883669,-0.02728013500476491,0.6123154042030303
breakout(12-48h),decay_or_cap,"decay=0.5,cap_h=15",389.23673060122746,0.6752709093586323,0.2577628582272388,-0.025960262739714714,-0.15400178976360654,0.5259523648819515
breakout(12-48h),decay_or_cap,"decay=0.5,cap_h=24",336.16364514343576,0.6126942126918108,0.20124557537537957,-0.07776948326992975,-0.20352563315243832,0.4729413081133713
zigzag(order5),fc_follow,-,196.53849262080902,0.5199934843524584,0.3490158261715086,0.23194230102428467,0.17886647344069195,0.6816549440235228
zigzag(order5),sig_decay,decay=0.3,289.25385515273854,0.5462911522499821,0.23055568793276937,0.014633303595093277,-0.08316836537860482,0.48887103426800893
zigzag(order5),sig_decay,decay=0.5,289.25385515273854,0.5462911522499821,0.23055568793276937,0.014633303595093277,-0.08316836537860482,0.48887103426800893
zigzag(order5),sig_decay,decay=0.7,289.25385515273854,0.5462911522499821,0.23055568793276937,0.014633303595093277,-0.08316836537860482,0.48887103426800893
zigzag(order5),sig_flip,-,196.53849262080902,0.5199934843524584,0.3490158261715086,0.23194230102428467,0.17886647344069195,0.6816549440235228
zigzag(order5),time_cap,cap_h=6,292.81976659132766,0.5654138467827973,0.2613543488367454,0.053196422661320325,-0.04115013714427274,0.49965391945546467
zigzag(order5),time_cap,cap_h=12,278.24269475515126,0.5578834049988705,0.2818592568929896,0.09277289238703892,0.0070336714795015,0.5501961611958261
zigzag(order5),time_cap,cap_h=15,271.0758963746889,0.4741623329000348,0.20626178155091723,0.022680653048875732,-0.060578182990164556,0.572155294083727
zigzag(order5),time_cap,cap_h=24,243.2690018944091,0.45914146871417677,0.23338746812912395,0.07877120434440797,0.008666565474254675,0.5049898351206491
zigzag(order5),r_target,r_target=1.0,231.7710084503625,0.4895803250937049,0.27246527787875213,0.12361794114166011,0.05609076571023388,0.47994834172664996
zigzag(order5),r_target,r_target=2.0,212.53943502654496,0.5771225756556296,0.3873399976460758,0.25728776446869395,0.1983011537600089,0.6055729994960807
zigzag(order5),r_target,r_target=3.0,203.25707937695182,0.6062880624959516,0.42659050295890866,0.30354769350382976,0.24776632052686554,0.7032861382268303
zigzag(order5),decay_or_cap,"decay=0.5,cap_h=6",292.81976659132766,0.5656447424636943,0.24260676496492894,0.02168828641800655,-0.07837607843568865,0.5157922590656245
zigzag(order5),decay_or_cap,"decay=0.5,cap_h=12",291.5837059519349,0.550558466774193,0.22983029768640253,0.0104874981198604,-0.0888644990780278,0.5061438720313337
zigzag(order5),decay_or_cap,"decay=0.5,cap_h=15",291.18530596896454,0.5605305668628162,0.24031018132436527,0.021318809282960205,-0.07787296651724204,0.5168017249836565
zigzag(order5),decay_or_cap,"decay=0.5,cap_h=24",290.31820996118773,0.5440198140958028,0.22589297550666437,0.008337762656027273,-0.09020258549119506,0.4855426764566946
