risk_frac,sharpe,cagr,dd,calmar,final,worst_day_usd,worst_r,mean_lots,max_lots,peak_margin_pct,breach12mo_static_pct,breach12mo_trailing_pct,pass_off,dd_off,mo_off,pass_on4,day_on4,dd_on4
0.0025,0.9748795044182496,2.1430231761445206,-2.9558862196459423,0.7250019171581013,123147.4119252386,-824.9909160571223,-1.03,0.09138028169014084,0.4,0.68033056,0.0,0.0,99.5,0.0,23.6,99.5,0.0,0.0
0.005,1.0055497240557103,4.4112878316635795,-5.765760492737771,0.7650834330041615,152279.8547799817,-1633.8545523811754,-1.03,0.1976770538243626,0.82,1.3955498666666666,0.0,0.0,99.8,0.1,11.0,99.8,0.0,0.1
0.0075,1.0052372069652526,6.603790315934122,-8.676226448393898,0.7611362330401812,186303.26209955133,-2488.2791153521434,-1.03,0.3186402266288952,1.24,2.22851312,0.0,0.1,98.9,1.1,7.1,98.9,0.0,1.1
0.01,1.014462857167697,8.892290403957603,-11.422159196264904,0.7785122104466397,229086.569389948,-3308.8869992943582,-1.03,0.45895184135977335,1.7,3.2589009066666677,0.5,1.9,97.2,2.8,5.1,94.1,3.6,2.4
0.0125,1.0095421650465646,11.04302790182139,-14.007927571367318,0.7883413049903053,276930.6272743516,-4090.833537495608,-1.03,0.6168838526912181,2.18,4.45702624,2.0,7.5,94.5,5.5,4.1,87.2,9.1,3.7
0.015,1.0119935690710076,13.267831222809946,-16.625665368299146,0.7980330969555226,335720.0771156157,-4889.856754031052,-1.03,0.7973371104815865,2.69,5.822889120000001,4.5,18.2,91.5,8.5,3.3,72.0,25.5,2.4
0.02,1.0117285684404491,17.6260803079751,-21.665347358749866,0.8135609374781869,483633.7268526666,-6499.76502659575,-1.03,1.2290934844192634,3.81,10.1165568,11.3,46.2,86.6,13.5,2.5,60.1,38.2,1.7
0.025,1.0103377592840557,21.895083983119832,-26.459901517555174,0.8274816884179726,682443.1386848271,-8086.497768775435,-1.03,1.7680736543909348,5.53,16.710383999999998,18.8,71.9,82.1,17.9,1.9,54.5,44.3,1.2
0.03,1.0115662364962876,26.180198665366717,-30.993336273596796,0.844704114273416,951534.0361383082,-9644.54677478468,-1.03,2.438470254957507,7.67,26.0591664,25.7,87.8,78.6,21.4,1.5,44.8,54.2,1.0
0.04,1.011192432520085,34.43266341104314,-39.361569378429465,0.8747787233786614,1745472.2304096064,-12717.603826310398,-1.03,4.22957507082153,13.28,58.73370666666666,37.1,97.4,74.2,25.8,1.0,45.8,53.7,0.5
