component,label,sr,dd,t,years
1_volregime,as proposed (lo.5/norm1/hi.5/ext0),1.2661696125104698,-11.87872480954586,0.8536417021348581,5/9
1_volregime,cut extreme only (q5=0),1.2784263767158146,-16.39276240002463,0.9936362935974575,4/9
1_volregime,cut low only (q1=0),0.8347302815018098,-15.84499058587805,-1.8243147393503947,3/9
1_volregime,cut both tails,1.0282768131936868,-11.84965141182397,-0.2253425369350066,4/9
1_volregime,monotone taper 1.0->0.2,1.2872194294284893,-12.661357937397922,1.227057525011803,5/9
2_trendstrength,hl=24 require TS>0.0,0.9502060871511374,-16.405003270818654,-1.2155036377118762,3/9
2_trendstrength,hl=24 require TS>0.1,0.9621036988808145,-16.069458647250755,-0.7084212098215565,4/9
2_trendstrength,hl=24 require TS>0.2,0.8441214629839237,-17.84991930824492,-0.9462590360010994,2/9
2_trendstrength,hl=48 require TS>0.0,0.9227185674170635,-20.20966086739826,-2.213379604551162,3/9
2_trendstrength,hl=48 require TS>0.1,0.8618236414403427,-17.678601861165475,-1.3194752165931503,3/9
2_trendstrength,hl=48 require TS>0.2,0.7550685087329051,-18.890192884370926,-1.179532826270415,2/9
2_trendstrength,hl=120 require TS>0.0,0.998669393635749,-22.173499175234557,-1.8128675800167355,3/9
2_trendstrength,hl=120 require TS>0.1,0.5305762190282037,-17.633459372079084,-2.649771943922104,1/9
2_trendstrength,hl=120 require TS>0.2,0.23350645614344956,-6.121470255391626,-2.4019576581430915,3/9
4_htf,"D1 ewmac(16,64) agree else x0.0",1.0403213033801237,-19.32491069588257,-0.7716244662972778,5/9
4_htf,"D1 ewmac(16,64) agree else x0.5",1.067752730653142,-18.81065531088082,-0.5186387578865104,6/9
4_htf,"D1 ewmac(32,128) agree else x0.0",1.0526495560806017,-23.091326345548268,-0.4052940637056586,6/9
4_htf,"D1 ewmac(32,128) agree else x0.5",1.0756334058169497,-20.869439657781008,-0.1971406246773743,6/9
4_htf,"D1 ewmac(8,32) agree else x0.0",0.9803397948567418,-19.97631564885204,-1.698670109175477,3/9
4_htf,"D1 ewmac(8,32) agree else x0.5",1.040015726763252,-19.784220013921193,-1.388316209831557,3/9
5_session,"hold only in best hours [0, 4, 20]",0.6318156240382197,-20.749861994075303,-1.7279102064019631,3/9
6_costband,buffer=0.0,1.087165747138819,-19.83207842721473,0.15425532463733324,4/9
6_costband,buffer=0.05,1.086400741322226,-19.71047937859014,0.20310047068891715,4/9
6_costband,buffer=0.1,1.0839824218222827,-19.7906632156965,0.0,0/9
6_costband,buffer=0.2,1.0732329163643393,-20.267343450849364,-0.4444194984185234,3/9
6_costband,buffer=0.4,1.0166827863078882,-22.337541950567275,-1.003508954493747,2/9
6_costband,min-edge: trade only fc>0.3,1.0777954739378217,-19.631052498178292,-0.30757579572936833,5/9
6_costband,min-edge: trade only fc>0.5,1.0510930160725935,-18.995835483143797,-1.0985702271743056,2/9
6_costband,min-edge: trade only fc>0.8,1.0381522636693479,-20.709613851484253,-0.8276936253666194,3/9
