open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move
2025-10-15 04:02:00,2025-10-15 04:02:00,XAUUSD,Buy,0.1,4167.25,4179.65,4169.73,4169.42,-31.0,-3.1,2s,-0.10%,-0.1,2.0,2.4799999999995634,9.920000000000073,-0.3099999999994907
2025-10-15 06:46:00,2025-10-15 06:46:00,XAUUSD,Buy,0.1,4184.38,4196.78,4186.86,4186.9,4.0,0.4,8s,0.01%,0.01,8.0,2.4799999999995634,9.920000000000073,0.03999999999996362
2025-10-15 08:14:00,2025-10-15 08:14:00,XAUUSD,Buy,0.1,4188.09,4200.49,4190.57,4190.62,5.0,0.5,3s,0.02%,0.02,3.0,2.4799999999995634,9.920000000000073,0.0500000000001819
2025-10-15 09:43:00,2025-10-15 09:43:00,XAUUSD,Buy,0.1,4191.31,4203.71,4193.78,4193.42,-36.0,-3.6,2s,-0.12%,-0.12,2.0,2.469999999999345,9.930000000000291,-0.3599999999996726
2025-10-15 12:21:00,2025-10-15 12:21:00,XAUUSD,Sell,0.1,4175.77,4163.37,4172.76,4165.52,724.0,72.4,10s,2.42%,2.42,10.0,3.0100000000002183,9.390000000000327,7.239999999999782
2025-10-15 17:04:00,2025-10-15 17:04:00,XAUUSD,Buy,0.1,4201.79,4214.19,4204.3,4204.4,10.0,1.0,4s,0.03%,0.03,4.0,2.5100000000002183,9.889999999999418,0.0999999999994543
2025-10-16 03:15:00,2025-10-16 03:15:00,XAUUSD,Buy,0.1,4213.45,4225.85,4215.89,4216.96,107.0,10.7,28s,0.35%,0.35,28.0,2.4400000000005093,9.960000000000036,1.069999999999709
2025-10-16 04:00:00,2025-10-16 04:00:00,XAUUSD,Buy,0.1,4210.74,4223.14,4213.18,4214.52,134.0,13.4,13s,0.44%,0.44,13.0,2.4400000000005093,9.960000000000036,1.3400000000001455
2025-10-16 08:33:00,2025-10-16 08:33:00,XAUUSD,Sell,0.1,4207.69,4195.29,4205.18,4205.15,3.0,0.3,2s,0.01%,0.01,2.0,2.509999999999309,9.890000000000327,0.030000000000654836
2025-10-16 11:01:00,2025-10-16 11:01:00,XAUUSD,Buy,0.1,4231.58,4243.98,4234.03,4234.56,53.0,5.3,6s,0.17%,0.17,6.0,2.449999999999818,9.949999999999818,0.5300000000006548
2025-10-16 12:55:00,2025-10-16 12:55:00,XAUUSD,Buy,0.1,4233.35,4245.75,4235.76,4236.85,109.0,10.9,13s,0.35%,0.35,13.0,2.4099999999998545,9.989999999999782,1.0900000000001455
2025-10-16 15:34:00,2025-10-16 15:34:00,XAUUSD,Buy,0.1,4245.05,4257.45,4247.45,4247.68,23.0,2.3,5s,0.07%,0.07,5.0,2.399999999999636,10.0,0.23000000000047294
2025-10-17 10:19:00,2025-10-17 10:19:00,XAUUSD,Sell,0.1,4344.53,4332.13,4342.1,4341.88,22.0,2.2,18s,0.07%,0.07,18.0,2.4299999999993815,9.970000000000255,0.22000000000025466
2025-10-20 05:30:00,2025-10-20 05:31:00,XAUUSD,Buy,0.1,4266.52,4278.92,4268.92,4269.63,71.0,7.1,11s,0.23%,0.23,11.0,2.399999999999636,10.0,0.7100000000000364
2025-10-20 08:23:00,2025-10-20 08:23:00,XAUUSD,Sell,0.1,4251.41,4239.01,4248.83,4248.25,58.0,5.8,4s,0.19%,0.19,4.0,2.5799999999999272,9.819999999999709,0.5799999999999272
2025-10-20 08:49:00,2025-10-20 08:49:00,XAUUSD,Sell,0.1,4251.41,4239.01,4248.91,4247.07,184.0,18.4,12s,0.59%,0.59,12.0,2.5,9.899999999999636,1.8400000000001455
2025-10-20 13:06:00,2025-10-20 13:06:00,XAUUSD,Sell,0.1,4252.8,4240.4,4250.26,4250.17,9.0,0.9,3s,0.03%,0.03,3.0,2.5399999999999636,9.860000000000582,0.09000000000014552
2025-10-20 14:48:00,2025-10-20 14:48:00,XAUUSD,Buy,0.1,4263.71,4276.11,4266.14,4265.74,-40.0,-4.0,1s,-0.13%,-0.13,1.0,2.430000000000291,9.969999999999345,-0.4000000000005457
2025-10-20 17:20:00,2025-10-20 17:20:00,XAUUSD,Buy,0.1,4324.64,4337.04,4327.17,4333.87,670.0,67.0,16s,2.13%,2.13,16.0,2.5299999999997453,9.86999999999989,6.699999999999818
2025-10-21 04:17:00,2025-10-21 04:17:00,XAUUSD,Sell,0.1,4358.32,4345.92,4355.78,4354.86,92.0,9.2,13s,0.29%,0.29,13.0,2.5399999999999636,9.859999999999673,0.9200000000000728
2025-10-21 04:30:00,2025-10-21 04:30:00,XAUUSD,Sell,0.1,4349.19,4336.79,4346.61,4341.94,467.0,46.7,24s,1.45%,1.45,24.0,2.5799999999999272,9.819999999999709,4.670000000000073
2025-10-21 05:00:00,2025-10-21 05:00:00,XAUUSD,Sell,0.1,4349.19,4336.79,4346.72,4346.48,24.0,2.4,4s,0.07%,0.07,4.0,2.469999999999345,9.930000000000291,0.24000000000069122
2025-10-21 08:12:00,2025-10-21 08:12:00,XAUUSD,Sell,0.1,4335.47,4323.07,4332.99,4332.94,5.0,0.5,3s,0.02%,0.02,3.0,2.480000000000473,9.920000000000073,0.0500000000001819
2025-10-21 10:33:00,2025-10-21 10:33:00,XAUUSD,Sell,0.1,4319.41,4307.01,4316.8,4306.88,992.0,99.2,36s,3.04%,3.04,36.0,2.6099999999996726,9.789999999999964,9.920000000000073
2025-10-21 14:56:00,2025-10-21 14:57:00,XAUUSD,Sell,0.1,4251.62,4239.22,4249.13,4246.07,306.0,30.6,39s,0.91%,0.91,39.0,2.4899999999997817,9.909999999999854,3.0600000000004
2025-10-21 15:08:00,2025-10-21 15:08:00,XAUUSD,Sell,0.1,4251.62,4239.22,4249.09,4249.28,-19.0,-1.9,4s,-0.06%,-0.06,4.0,2.5299999999997453,9.86999999999989,-0.18999999999959982
2025-10-22 06:25:00,2025-10-22 06:25:00,XAUUSD,Buy,0.1,4118.23,4130.63,4120.65,4120.86,21.0,2.1,4s,0.06%,0.06,4.0,2.4200000000000728,9.980000000000473,0.21000000000003638
2025-10-22 08:17:00,2025-10-22 08:18:00,XAUUSD,Buy,0.1,4140.56,4152.96,4142.97,4144.77,180.0,18.0,40s,0.53%,0.53,40.0,2.4099999999998545,9.989999999999782,1.800000000000182
2025-10-22 09:31:00,2025-10-22 09:31:00,XAUUSD,Buy,0.1,4144.54,4156.94,4146.96,4148.52,156.0,15.6,12s,0.46%,0.46,12.0,2.4200000000000728,9.979999999999563,1.5600000000004002
2025-10-22 13:41:00,2025-10-22 13:41:00,XAUUSD,Sell,0.1,4063.94,4051.54,4061.3,4051.48,982.0,98.2,18s,2.86%,2.86,18.0,2.6399999999998727,9.760000000000218,9.820000000000164
2025-10-22 17:54:00,2025-10-22 17:54:00,XAUUSD,Sell,0.1,4017.51,4005.11,4014.89,4011.74,315.0,31.5,14s,0.89%,0.89,14.0,2.6200000000003456,9.779999999999745,3.150000000000091
2025-10-23 03:20:00,2025-10-23 03:21:00,XAUUSD,Sell,0.1,4083.17,4070.77,4080.71,4079.61,110.0,11.0,25s,0.31%,0.31,25.0,2.4600000000000364,9.940000000000055,1.099999999999909
2025-10-23 08:52:00,2025-10-23 08:52:00,XAUUSD,Buy,0.1,4098.26,4110.66,4100.68,4100.51,-17.0,-1.7,3s,-0.05%,-0.05,3.0,2.4200000000000728,9.979999999999563,-0.17000000000007276
2025-10-23 15:23:00,2025-10-23 15:23:00,XAUUSD,Sell,0.1,4104.15,4091.75,4101.72,4100.54,118.0,11.8,21s,0.33%,0.33,21.0,2.4299999999993815,9.970000000000255,1.180000000000291
2025-10-24 03:29:00,2025-10-24 03:29:00,XAUUSD,Buy,0.1,4130.51,4142.91,4133.02,4133.03,1.0,0.1,5s,0.00%,0.0,5.0,2.5100000000002183,9.889999999999418,0.009999999999308784
2025-10-24 07:21:00,2025-10-24 07:22:00,XAUUSD,Sell,0.1,4110.3,4097.9,4107.9,4108.21,-31.0,-3.1,19s,-0.09%,-0.09,19.0,2.4000000000005457,10.0,-0.3100000000004002
2025-10-24 07:30:00,2025-10-24 07:30:00,XAUUSD,Sell,0.1,4108.32,4095.92,4105.83,4103.83,200.0,20.0,18s,0.56%,0.56,18.0,2.4899999999997817,9.909999999999854,2.0
2025-10-24 09:00:00,2025-10-24 09:00:00,XAUUSD,Sell,0.1,4105.29,4092.89,4102.87,4102.87,0.0,0.0,8s,0.00%,0.0,8.0,2.4200000000000728,9.980000000000018,-0.0
2025-10-24 10:51:00,2025-10-24 10:52:00,XAUUSD,Sell,0.1,4084.03,4071.63,4081.58,4076.37,521.0,52.1,48s,1.45%,1.45,48.0,2.450000000000273,9.949999999999818,5.210000000000036
2025-10-27 06:01:00,2025-10-27 06:02:00,XAUUSD,Sell,0.1,4067.6,4055.2,4065.2,4063.51,169.0,16.9,15s,0.46%,0.46,15.0,2.400000000000091,10.0,1.6899999999995998
2025-10-27 06:41:00,2025-10-27 06:41:00,XAUUSD,Sell,0.1,4060.97,4048.57,4058.48,4058.67,-19.0,-1.9,3s,-0.05%,-0.05,3.0,2.4899999999997817,9.909999999999854,-0.19000000000005457
2025-10-27 07:27:00,2025-10-27 07:27:00,XAUUSD,Buy,0.1,4079.39,4091.79,4081.85,4084.17,232.0,23.2,26s,0.63%,0.63,26.0,2.4600000000000364,9.940000000000055,2.3200000000001637
2025-10-27 08:08:00,2025-10-27 08:08:00,XAUUSD,Buy,0.1,4081.99,4094.39,4084.42,4084.04,-38.0,-3.8,4s,-0.10%,-0.1,4.0,2.430000000000291,9.9699999999998,-0.38000000000010914
2025-10-27 10:53:00,2025-10-27 10:53:00,XAUUSD,Sell,0.1,4056.3,4043.9,4053.6,4043.39,1021.0,102.1,18s,2.77%,2.77,18.0,2.700000000000273,9.699999999999818,10.210000000000036
2025-10-27 13:11:00,2025-10-27 13:11:00,XAUUSD,Sell,0.1,4026.52,4014.12,4024.09,4022.75,134.0,13.4,5s,0.35%,0.35,5.0,2.4299999999998363,9.970000000000255,1.3400000000001455
2025-10-27 15:47:00,2025-10-27 15:48:00,XAUUSD,Sell,0.1,4017.95,4005.55,4015.42,4014.59,83.0,8.3,26s,0.22%,0.22,26.0,2.5299999999997453,9.86999999999989,0.8299999999999272
2025-10-27 16:01:00,2025-10-27 16:01:00,XAUUSD,Sell,0.1,4017.95,4005.55,4015.43,4015.13,30.0,3.0,2s,0.08%,0.08,2.0,2.519999999999982,9.879999999999654,0.29999999999972715
2025-10-28 03:00:00,2025-10-28 03:01:00,XAUUSD,Buy,0.1,4007.76,4020.16,4010.39,4012.13,174.0,17.4,33s,0.46%,0.46,33.0,2.6299999999996544,9.769999999999982,1.7400000000002365
2025-10-28 06:22:00,2025-10-28 06:22:00,XAUUSD,Sell,0.1,3983.26,3970.86,3980.85,3977.24,361.0,36.1,27s,0.94%,0.94,27.0,2.4100000000003092,9.989999999999782,3.6100000000001273
2025-10-28 07:31:00,2025-10-28 07:31:00,XAUUSD,Sell,0.1,3966.27,3953.87,3963.85,3964.15,-30.0,-3.0,2s,-0.08%,-0.08,2.0,2.4200000000000728,9.980000000000018,-0.3000000000001819
2025-10-28 15:18:00,2025-10-28 15:18:00,XAUUSD,Buy,0.1,3927.78,3940.18,3930.22,3932.04,182.0,18.2,18s,0.47%,0.47,18.0,2.4399999999996,9.960000000000036,1.8200000000001637
2025-10-29 08:25:00,2025-10-29 08:25:00,XAUUSD,Buy,0.1,3969.76,3982.16,3972.23,3973.62,139.0,13.9,26s,0.36%,0.36,26.0,2.4699999999998,9.929999999999836,1.3899999999998727
2025-10-29 14:15:00,2025-10-29 14:15:00,XAUUSD,Buy,0.1,4027.32,4039.72,4029.79,4029.91,12.0,1.2,5s,0.03%,0.03,5.0,2.4699999999998,9.929999999999836,0.11999999999989086
2025-10-29 15:13:00,2025-10-29 15:13:00,XAUUSD,Sell,0.1,4015.9,4003.5,4013.42,4010.09,333.0,33.3,22s,0.85%,0.85,22.0,2.480000000000018,9.920000000000073,3.3299999999999272
2025-10-29 17:27:00,2025-10-29 17:27:00,XAUUSD,Sell,0.1,4004.98,3992.58,4002.55,4002.21,34.0,3.4,4s,0.09%,0.09,4.0,2.4299999999998363,9.970000000000255,0.3400000000001455
2025-10-30 03:06:00,2025-10-30 03:06:00,XAUUSD,Buy,0.1,3961.79,3974.19,3964.42,3966.2,178.0,17.8,6s,0.45%,0.45,6.0,2.630000000000109,9.769999999999982,1.7799999999997453
2025-10-30 04:04:00,2025-10-30 04:05:00,XAUUSD,Sell,0.1,3940.53,3928.13,3938.09,3935.99,210.0,21.0,30s,0.53%,0.53,30.0,2.4400000000000546,9.960000000000036,2.100000000000364
2025-10-30 06:34:00,2025-10-30 06:34:00,XAUUSD,Buy,0.1,3964.04,3976.44,3966.59,3970.38,379.0,37.9,14s,0.95%,0.95,14.0,2.550000000000182,9.849999999999909,3.7899999999999636
2025-10-30 11:00:00,2025-10-30 11:01:00,XAUUSD,Buy,0.1,3974.71,3987.11,3977.12,3984.45,733.0,73.3,1m,1.83%,1.83,60.0,2.4099999999998545,9.990000000000236,7.329999999999927
2025-10-30 14:58:00,2025-10-30 14:58:00,XAUUSD,Sell,0.1,3966.18,3953.78,3963.53,3961.34,219.0,21.9,11s,0.54%,0.54,11.0,2.649999999999636,9.75,2.1900000000000546
2025-10-30 15:52:00,2025-10-30 15:52:00,XAUUSD,Buy,0.1,3982.64,3995.04,3985.16,3984.96,-20.0,-2.0,3s,-0.05%,-0.05,3.0,2.519999999999982,9.88000000000011,-0.1999999999998181
2025-10-31 04:14:00,2025-10-31 04:14:00,XAUUSD,Sell,0.1,4012.21,3999.81,4009.73,4009.73,0.0,0.0,5s,0.00%,0.0,5.0,2.480000000000018,9.920000000000073,-0.0
2025-10-31 06:07:00,2025-10-31 06:07:00,XAUUSD,Sell,0.1,3993.36,3980.96,3990.84,3990.56,28.0,2.8,5s,0.07%,0.07,5.0,2.519999999999982,9.88000000000011,0.2800000000002001
2025-10-31 07:46:00,2025-10-31 07:46:00,XAUUSD,Buy,0.1,4008.13,4020.53,4010.62,4010.86,24.0,2.4,5s,0.06%,0.06,5.0,2.4899999999997817,9.91000000000031,0.24000000000023647
2025-10-31 09:04:00,2025-10-31 09:04:00,XAUUSD,Buy,0.1,4012.54,4024.94,4015.1,4016.32,122.0,12.2,12s,0.30%,0.3,12.0,2.5599999999999454,9.840000000000146,1.2200000000002547
2025-11-03 04:21:00,2025-11-03 04:21:00,XAUUSD,Buy,0.1,4004.21,4016.61,4006.71,4006.32,-39.0,-3.9,2s,-0.09%,-0.09,2.0,2.5,9.900000000000091,-0.38999999999987267
