open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move,sgn,bar_lo,bar_hi,win_lo,win_hi,bar_range,win_range,avail,mom_1bar,entry_vs_prev
2025-10-15 04:02:00,2025-10-15 04:02:00,XAUUSD,Buy,0.1,4167.25,4179.65,4169.73,4169.42,-31.0,-3.1,2s,-0.10%,-0.1,2.0,2.4799999999995634,9.920000000000073,-0.3099999999994907,1.0,4182.245,4187.325,4172.848,4187.325,5.079999999999927,14.476999999999862,17.595000000000255,2.280000000000655,-17.085000000000946
2025-10-15 06:46:00,2025-10-15 06:46:00,XAUUSD,Buy,0.1,4184.38,4196.78,4186.86,4186.9,4.0,0.4,8s,0.01%,0.01,8.0,2.4799999999995634,9.920000000000073,0.03999999999996362,1.0,4193.205,4200.155,4193.205,4200.445,6.949999999999818,7.239999999999782,13.585000000000036,3.800000000000182,-6.895000000000437
2025-10-15 08:14:00,2025-10-15 08:14:00,XAUUSD,Buy,0.1,4188.09,4200.49,4190.57,4190.62,5.0,0.5,3s,0.02%,0.02,3.0,2.4799999999995634,9.920000000000073,0.0500000000001819,1.0,4206.925,4216.095,4206.925,4217.995,9.170000000000073,11.069999999999709,27.425000000000182,2.8900000000003274,-16.975000000000364
2025-10-15 09:43:00,2025-10-15 09:43:00,XAUUSD,Buy,0.1,4191.31,4203.71,4193.78,4193.42,-36.0,-3.6,2s,-0.12%,-0.12,2.0,2.469999999999345,9.930000000000293,-0.3599999999996726,1.0,4188.325,4196.475,4188.325,4196.475,8.150000000000546,8.150000000000546,2.6950000000006185,-12.569999999999709,3.964999999999236
2025-10-15 12:21:00,2025-10-15 12:21:00,XAUUSD,Sell,0.1,4175.77,4163.37,4172.76,4165.52,724.0,72.4,10s,2.42%,2.42,10.0,3.0100000000002183,9.390000000000327,7.239999999999782,-1.0,4180.0,4193.515,4175.779,4193.515,13.515000000000327,17.735999999999876,-3.019000000000233,5.819999999999709,19.88500000000022
2025-10-15 17:04:00,2025-10-15 17:04:00,XAUUSD,Buy,0.1,4201.79,4214.19,4204.3,4204.4,10.0,1.0,4s,0.03%,0.03,4.0,2.5100000000002183,9.889999999999418,0.0999999999994543,1.0,4182.975,4199.448,4182.345,4199.448,16.472999999999956,17.103000000000065,-4.851999999999862,2.3799999999991996,5.565000000000509
2025-10-16 03:15:00,2025-10-16 03:15:00,XAUUSD,Buy,0.1,4213.45,4225.85,4215.89,4216.96,107.0,10.7,28s,0.35%,0.35,28.0,2.4400000000005093,9.960000000000036,1.069999999999709,1.0,4233.8150000000005,4241.075,4228.798,4241.075,7.259999999999309,12.277000000000044,25.18499999999949,-1.0399999999999636,-22.36499999999978
2025-10-16 04:00:00,2025-10-16 04:00:00,XAUUSD,Buy,0.1,4210.74,4223.14,4213.18,4214.52,134.0,13.4,13s,0.44%,0.44,13.0,2.4400000000005093,9.960000000000036,1.3400000000001455,1.0,4229.985,4235.598,4229.985,4238.915,5.613000000000284,8.930000000000291,25.734999999999673,0.5100000000002183,-20.36499999999978
2025-10-16 08:33:00,2025-10-16 08:33:00,XAUUSD,Sell,0.1,4207.69,4195.29,4205.18,4205.15,3.0,0.3,2s,0.01%,0.01,2.0,2.509999999999309,9.890000000000327,0.030000000000654836,-1.0,4228.305,4232.765,4228.305,4234.125,4.460000000000036,5.819999999999709,-23.125,0.6069999999999709,25.967999999999847
2025-10-16 11:01:00,2025-10-16 11:01:00,XAUUSD,Buy,0.1,4231.58,4243.98,4234.03,4234.56,53.0,5.3,6s,0.17%,0.17,6.0,2.449999999999818,9.949999999999818,0.5300000000006548,1.0,4239.215,4244.795,4239.215,4246.448,5.579999999999927,7.233000000000175,12.418000000000575,3.5700000000006185,-8.525000000000546
